Benchmark/Config	IPC	NOPF_IPC	SPEEDUP		
GemsFDTD   1		2.63003	0.51144		5.14238
GemsFDTD   2		1.71571	0.40058		4.28305
GemsFDTD   3		1.71743	0.40055		4.28771
astar      1		1.82376	2.73564		0.66667
astar      2		2.97674	2.71449		1.09661
astar      3		1.18086	2.36172		0.50000
bwaves     1		3.08170	0.78143		3.94367
bwaves     2		2.15038	0.59231		3.63051
bwaves     3		2.15099	0.59230		3.63160
bzip2      1		3.03033	2.68969		1.12665
bzip2      2		2.93374	2.53000		1.15958
bzip2      3		2.30256	1.81854		1.26616
cactusADM  1		2.58866	1.97085		1.31348
cactusADM  2		2.43890	1.84985		1.31843
cactusADM  3		2.49375	1.81741		1.37214
calculix   1		3.59157	3.58966		1.00053
calculix   2		3.59062	3.58808		1.00071
calculix   3		3.59062	3.58808		1.00071
dealII     1		3.20732	2.96844		1.08047
dealII     2		3.20637	2.96188		1.08255
dealII     3		3.20610	2.96186		1.08246
gamess     1		2.96810	2.96969		0.99946
gamess     2		2.96639	2.96847		0.99930
gamess     3		2.96636	2.96837		0.99932
gcc        1		3.17489	2.90928		1.09130
gcc        2		3.16842	2.89223		1.09549
gcc        3		3.16842	2.89223		1.09549
gobmk      1		2.89489	2.87935		1.00540
gobmk      2		2.85948	2.86427		0.99833
gobmk      3		2.73740	2.80734		0.97509
gromacs    1		2.93191	2.87923		1.01830
gromacs    2		2.91859	2.86686		1.01804
gromacs    3		2.65620	2.84487		0.93368
h264ref    1		2.58228	2.33655		1.10517
h264ref    2		2.47598	2.24895		1.10095
h264ref    3		2.18512	1.91211		1.14278
hmmer      1		3.23906	1.94921		1.66173
hmmer      2		2.81317	1.88261		1.49429
hmmer      3		2.81019	1.87821		1.49620
lbm        1		2.79650	0.98373		2.84276
lbm        2		2.66898	0.87288		3.05765
lbm        3		2.66893	0.87265		3.05842
leslie3d   1		1.97483	0.42130		4.68747
leslie3d   2		1.30244	0.32281		4.03476
leslie3d   3		0.94672	0.30447		3.10940
libquantum 1		3.10221	2.34614		1.32227
libquantum 2		1.13201	0.99908		1.13305
libquantum 3		1.13201	0.99908		1.13305
mcf        1		1.56466	1.13922		1.37345
mcf        2		1.09395	0.87434		1.25117
mcf        3		1.08337	0.86956		1.24588
milc       1		3.13408	0.55251		5.67243
milc       2		2.23893	0.36443		6.14361
milc       3		2.23610	0.36438		6.13680
namd       1		3.31161	3.24887		1.01931
namd       2		3.29415	3.22761		1.02061
namd       3		3.27787	3.22428		1.01662
omnetpp    1		1.92039	1.76407		1.08861
omnetpp    2		1.53768	1.50544		1.02142
omnetpp    3		1.31531	1.28589		1.02288
perlbench  1		2.58734	2.51710		1.02791
perlbench  2		2.56678	2.48864		1.03140
perlbench  3		2.53136	2.45324		1.03185
povray     1		2.90597	2.90638		0.99986
povray     2		2.89491	2.90548		0.99636
povray     3		2.90152	2.90531		0.99870
sjeng      1		2.88223	2.88402		0.99938
sjeng      2		2.88064	2.88261		0.99932
sjeng      3		2.87805	2.87971		0.99942
soplex     1		1.90109	0.44498		4.27229
soplex     2		0.86789	0.34437		2.52020
soplex     3		0.85194	0.33703		2.52775
tonto      1		3.09730	3.09028		1.00227
tonto      2		3.09631	3.08932		1.00226
tonto      3		3.09606	3.08927		1.00220
xalancbmk  1		1.65505	1.31653		1.25713
xalancbmk  2		1.25360	1.16491		1.07613
xalancbmk  3		1.17873	0.83242		1.41602
zeusmp     1		3.26370	2.72153		1.19921
zeusmp     2		2.93876	2.60216		1.12935
zeusmp     3		2.84339	2.09156		1.35946

		Scores
Config1		1.486854372	
Config2		1.438227955	
Config3		1.410269249	
Total		4.335351576


